time,lat,lon,alt,vn,ve,vd,GPS_TOW,theta,p_bias,q_bias,r_bias,ax_bias,ay_bias,az_bias,navvd
152.22,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.50302637,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.7921305
152.24,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.50333136,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.7863312
152.26,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.50391495,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.789329
152.28,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5044849,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.790437
152.3,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5051877,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.7998686
152.32,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5056123,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.803106
152.34,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.50613195,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8129907
152.36,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5066184,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8141577
152.38,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5069919,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8203619
152.4,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.50748533,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8198779
152.42,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5079529,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8222504
152.44,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5085348,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8211968
152.46,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5091546,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8225539
152.48,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5099059,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8202126
152.5,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5104611,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8209314
152.52,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.51124376,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8214507
152.54,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.51173854,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8246849
152.56,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.5123804,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.8265386
152.58,44.72588211491375,-93.07608967261184,280.3382568359375,4.8674226,-16.501421,-3.6742692,223136.0,0.512779,0.020913221,0.0071005975,0.034508724,-0.17088605,-0.26902482,-0.14999707,-3.829579
